id;price;currency;condition;Marca;Puertas;Tipo de combustible;Kilómetros;Modelo;Versión;Año;adressstate_name;adresscity_name;Motor;Transmisión
180564;3255873;ARS;used;Ford;5;Nafta;52816;Focus III;2.0 Se;2017;Capital Federal;Capital Federal;2;Manual
169861;2892929;ARS;used;Ford;4;Nafta;63500;Focus III;2.0 Sedan Se Plus Mt;2017;Capital Federal;Capital Federal;2;Manual
184901;3771066;ARS;used;Ford;5;Nafta;59041;Focus III;2.0 Titanium At6;2017;Capital Federal;Capital Federal;2;Automática
181977;3147634;ARS;used;Ford;5;Nafta;35225;Focus III;1.6 S;2018;Capital Federal;Capital Federal;1.6;Manual
184933;3384887;ARS;used;Ford;5;Nafta;45000;Focus III;2.0 Se;2018;Capital Federal;Capital Federal;2;Manual
182731;3426296;ARS;used;Ford;5;Nafta;;Focus III;2.0 Se At6;2019;Capital Federal;Capital Federal;2;Automática
183724;2167307;ARS;used;Ford;4;Nafta;59891;Ka;1.5 S 4 p;2017;Capital Federal;Capital Federal;1.5;Manual
175529;1921368;ARS;used;Ford;5;Nafta;98336;Ka;1.5 S 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
174926;1980816;ARS;used;Ford;5;Nafta;65750;Ka;1.5 S 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
182729;2078240;ARS;used;Ford;5;Nafta;88416;Ka;1.5 S 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
182513;2344328;ARS;used;Ford;4;Nafta;56763;Ka;1.5 Se 4 p;2017;Capital Federal;Capital Federal;1.5;Manual
164046;1961778;ARS;used;Ford;5;Nafta;80002;Ka;1.5 Se 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
169812;2217051;ARS;used;Ford;5;Nafta;67145;Ka;1.5 Se 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
161510;2060109;ARS;used;Ford;4;Nafta;99825;Ka;1.5 Sel 4 p;2017;Capital Federal;Capital Federal;1.5;Manual
179351;2149702;ARS;used;Ford;5;Nafta;59819;Ka;1.5 Sel 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
184134;2492187;ARS;used;Ford;5;Nafta;78371;Ka;1.5 Sel 5 p;2017;Capital Federal;Capital Federal;1.5;Manual
183555;2542121;ARS;used;Ford;4;Nafta;26458;Ka;1.5 Se 4 p;2018;Capital Federal;Capital Federal;1.5;Manual
